"Plot Title: 21309772"
"#","Date Time, GMT-03:00","Temp, °C (LGR S/N: 21309772, SEN S/N: 21309772)","Intensity, Lux (LGR S/N: 21309772, SEN S/N: 21309772)","Host Connected (LGR S/N: 21309772)","Coupler Attached (LGR S/N: 21309772)","Coupler Detached (LGR S/N: 21309772)","End Of File (LGR S/N: 21309772)"
1,08/07/23 03:00:00 PM,25.222,0.0,,,,
2,08/07/23 03:10:00 PM,25.222,0.0,,,,
3,08/07/23 03:20:00 PM,25.708,10.8,,,,
4,08/07/23 03:30:00 PM,28.456,4822.3,,,,
5,08/07/23 03:40:00 PM,28.060,3444.5,,,,
6,08/07/23 03:50:00 PM,28.159,2325.0,,,,
7,08/07/23 04:00:00 PM,28.060,4305.6,,,,
8,08/07/23 04:10:00 PM,28.258,2755.6,,,,
9,08/07/23 04:20:00 PM,28.159,4305.6,,,,
10,08/07/23 04:30:00 PM,28.357,3444.5,,,,
11,08/07/23 04:40:00 PM,28.060,3100.0,,,,
12,08/07/23 04:50:00 PM,28.258,2152.8,,,,
13,08/07/23 05:00:00 PM,27.961,1722.2,,,,
14,08/07/23 05:10:00 PM,28.159,1377.8,,,,
15,08/07/23 05:20:00 PM,27.862,1044.1,,,,
16,08/07/23 05:30:00 PM,28.159,1227.1,,,,
17,08/07/23 05:40:00 PM,27.862,925.7,,,,
18,08/07/23 05:50:00 PM,28.159,914.9,,,,
19,08/07/23 06:00:00 PM,27.862,1011.8,,,,
20,08/07/23 06:10:00 PM,28.258,904.2,,,,
21,08/07/23 06:20:00 PM,27.862,850.4,,,,
22,08/07/23 06:30:00 PM,28.159,1550.0,,,,
23,08/07/23 06:40:00 PM,28.060,1377.8,,,,
24,08/07/23 06:50:00 PM,28.456,1636.1,,,,
25,08/07/23 07:00:00 PM,28.754,602.8,,,,
26,08/07/23 07:10:00 PM,29.053,322.9,,,,
27,08/07/23 07:20:00 PM,29.252,247.6,,,,
28,08/07/23 07:30:00 PM,29.452,215.3,,,,
29,08/07/23 07:40:00 PM,29.552,129.2,,,,
30,08/07/23 07:50:00 PM,29.552,64.6,,,,
31,08/07/23 08:00:00 PM,29.652,32.3,,,,
32,08/07/23 08:10:00 PM,29.652,0.0,,,,
33,08/07/23 08:20:00 PM,29.652,0.0,,,,
34,08/07/23 08:30:00 PM,29.652,0.0,,,,
