"Plot Title: 21309771"
"#","Date Time, GMT-03:00","Temp, °C (LGR S/N: 21309771, SEN S/N: 21309771)","Intensity, Lux (LGR S/N: 21309771, SEN S/N: 21309771)","Host Connected (LGR S/N: 21309771)","Coupler Attached (LGR S/N: 21309771)","Coupler Detached (LGR S/N: 21309771)","End Of File (LGR S/N: 21309771)"
1,08/07/23 03:00:00 PM,25.222,0.0,,,,
2,08/07/23 03:10:00 PM,25.125,0.0,,,,
3,08/07/23 03:20:00 PM,25.708,0.0,,,,
4,08/07/23 03:30:00 PM,28.953,7577.8,,,,
5,08/07/23 03:40:00 PM,28.357,4994.5,,,,
6,08/07/23 03:50:00 PM,28.357,3100.0,,,,
7,08/07/23 04:00:00 PM,28.258,5511.1,,,,
8,08/07/23 04:10:00 PM,28.456,3616.7,,,,
9,08/07/23 04:20:00 PM,28.357,6200.0,,,,
10,08/07/23 04:30:00 PM,28.456,5338.9,,,,
11,08/07/23 04:40:00 PM,28.159,4822.3,,,,
12,08/07/23 04:50:00 PM,28.357,3100.0,,,,
13,08/07/23 05:00:00 PM,28.060,2497.2,,,,
14,08/07/23 05:10:00 PM,28.258,1894.5,,,,
15,08/07/23 05:20:00 PM,27.961,1377.8,,,,
16,08/07/23 05:30:00 PM,28.258,1636.1,,,,
17,08/07/23 05:40:00 PM,27.862,1184.0,,,,
18,08/07/23 05:50:00 PM,28.159,1151.7,,,,
19,08/07/23 06:00:00 PM,27.862,1270.1,,,,
20,08/07/23 06:10:00 PM,28.258,1108.7,,,,
21,08/07/23 06:20:00 PM,27.961,1044.1,,,,
22,08/07/23 06:30:00 PM,28.258,2066.7,,,,
23,08/07/23 06:40:00 PM,28.060,1173.3,,,,
24,08/07/23 06:50:00 PM,28.456,1463.9,,,,
25,08/07/23 07:00:00 PM,28.754,1022.6,,,,
26,08/07/23 07:10:00 PM,29.053,559.7,,,,
27,08/07/23 07:20:00 PM,29.352,344.4,,,,
28,08/07/23 07:30:00 PM,29.452,204.5,,,,
29,08/07/23 07:40:00 PM,29.552,139.9,,,,
30,08/07/23 07:50:00 PM,29.552,64.6,,,,
31,08/07/23 08:00:00 PM,29.652,32.3,,,,
32,08/07/23 08:10:00 PM,29.652,0.0,,,,
33,08/07/23 08:20:00 PM,29.652,0.0,,,,
34,08/07/23 08:30:00 PM,29.652,0.0,,,,
35,08/07/23 08:40:00 PM,29.652,0.0,,,,
36,08/07/23 08:50:00 PM,29.452,0.0,,,,
37,08/07/23 09:00:00 PM,28.853,0.0,,,,
38,08/07/23 09:10:00 PM,28.357,0.0,,,,
39,08/07/23 09:20:00 PM,27.862,0.0,,,,
40,08/07/23 09:30:00 PM,28.060,0.0,,,,
41,08/07/23 09:40:00 PM,27.862,0.0,,,,
42,08/07/23 09:50:00 PM,27.961,0.0,,,,
43,08/07/23 10:00:00 PM,28.060,0.0,,,,
44,08/07/23 10:10:00 PM,27.862,0.0,,,,
45,08/07/23 10:20:00 PM,28.060,0.0,,,,
46,08/07/23 10:30:00 PM,27.961,0.0,,,,
47,08/07/23 10:40:00 PM,27.862,0.0,,,,
48,08/07/23 10:50:00 PM,28.060,0.0,,,,
49,08/07/23 11:00:00 PM,27.862,0.0,,,,
50,08/07/23 11:10:00 PM,27.961,0.0,,,,
51,08/07/23 11:20:00 PM,28.060,0.0,,,,
52,08/07/23 11:30:00 PM,27.764,0.0,,,,
53,08/07/23 11:40:00 PM,28.060,0.0,,,,
54,08/07/23 11:50:00 PM,28.060,0.0,,,,
55,08/08/23 12:00:00 AM,27.862,0.0,,,,
56,08/08/23 12:10:00 AM,27.961,0.0,,,,
57,08/08/23 12:20:00 AM,28.060,0.0,,,,
58,08/08/23 12:30:00 AM,27.862,0.0,,,,
59,08/08/23 12:40:00 AM,27.961,0.0,,,,
60,08/08/23 12:50:00 AM,28.060,0.0,,,,
61,08/08/23 01:00:00 AM,27.862,0.0,,,,
62,08/08/23 01:10:00 AM,27.961,0.0,,,,
63,08/08/23 01:20:00 AM,28.159,0.0,,,,
64,08/08/23 01:30:00 AM,27.862,0.0,,,,
65,08/08/23 01:40:00 AM,27.961,0.0,,,,
66,08/08/23 01:50:00 AM,28.159,0.0,,,,
67,08/08/23 02:00:00 AM,27.961,0.0,,,,
68,08/08/23 02:10:00 AM,27.862,0.0,,,,
69,08/08/23 02:20:00 AM,28.060,0.0,,,,
70,08/08/23 02:30:00 AM,27.961,0.0,,,,
71,08/08/23 02:40:00 AM,27.764,0.0,,,,
72,08/08/23 02:50:00 AM,27.961,0.0,,,,
73,08/08/23 03:00:00 AM,28.060,0.0,,,,
74,08/08/23 03:10:00 AM,27.862,0.0,,,,
75,08/08/23 03:20:00 AM,28.060,0.0,,,,
76,08/08/23 03:30:00 AM,27.862,0.0,,,,
77,08/08/23 03:40:00 AM,27.862,0.0,,,,
78,08/08/23 03:50:00 AM,28.060,0.0,,,,
79,08/08/23 04:00:00 AM,27.961,0.0,,,,
80,08/08/23 04:10:00 AM,27.862,0.0,,,,
81,08/08/23 04:20:00 AM,28.060,0.0,,,,
82,08/08/23 04:30:00 AM,27.961,0.0,,,,
83,08/08/23 04:40:00 AM,27.764,0.0,,,,
84,08/08/23 04:50:00 AM,28.060,0.0,,,,
85,08/08/23 05:00:00 AM,27.862,0.0,,,,
86,08/08/23 05:10:00 AM,27.862,0.0,,,,
87,08/08/23 05:20:00 AM,28.159,0.0,,,,
88,08/08/23 05:30:00 AM,27.764,0.0,,,,
89,08/08/23 05:40:00 AM,27.961,0.0,,,,
90,08/08/23 05:50:00 AM,28.159,0.0,,,,
91,08/08/23 06:00:00 AM,27.764,0.0,,,,
92,08/08/23 06:10:00 AM,27.961,0.0,,,,
93,08/08/23 06:20:00 AM,28.159,0.0,,,,
94,08/08/23 06:30:00 AM,27.764,0.0,,,,
95,08/08/23 06:40:00 AM,27.961,0.0,,,,
96,08/08/23 06:50:00 AM,28.159,32.3,,,,
97,08/08/23 07:00:00 AM,27.862,75.3,,,,
98,08/08/23 07:10:00 AM,27.961,96.9,,,,
99,08/08/23 07:20:00 AM,28.159,161.5,,,,
100,08/08/23 07:30:00 AM,27.961,161.5,,,,
101,08/08/23 07:40:00 AM,27.862,193.8,,,,
102,08/08/23 07:50:00 AM,28.159,301.4,,,,
103,08/08/23 08:00:00 AM,27.862,312.2,,,,
104,08/08/23 08:10:00 AM,27.961,538.2,,,,
105,08/08/23 08:20:00 AM,28.159,624.3,,,,
106,08/08/23 08:30:00 AM,27.961,785.8,,,,
107,08/08/23 08:40:00 AM,27.961,914.9,,,,
108,08/08/23 08:50:00 AM,28.159,516.7,,,,
109,08/08/23 09:00:00 AM,27.961,1065.6,,,,
110,08/08/23 09:10:00 AM,28.456,1248.6,,,,
111,08/08/23 09:20:00 AM,28.655,1463.9,,,,
112,08/08/23 09:30:00 AM,28.853,1636.1,,,,
113,08/08/23 09:40:00 AM,28.953,1808.3,,,,
114,08/08/23 09:50:00 AM,29.152,2066.7,,,,
115,08/08/23 10:00:00 AM,28.953,1980.6,,,,
116,08/08/23 10:10:00 AM,28.357,2755.6,,,,
117,08/08/23 10:20:00 AM,27.961,2755.6,,,,
118,08/08/23 10:30:00 AM,28.258,2583.4,,,,
119,08/08/23 10:40:00 AM,27.961,2755.6,,,,
120,08/08/23 10:50:00 AM,28.060,2927.8,,,,
121,08/08/23 11:00:00 AM,28.060,1377.8,,,,
122,08/08/23 11:10:00 AM,28.060,2497.2,,,,
123,08/08/23 11:20:00 AM,28.060,3788.9,,,,
124,08/08/23 11:30:00 AM,28.159,4133.4,,,,
125,08/08/23 11:40:00 AM,27.961,2755.6,,,,
126,08/08/23 11:50:00 AM,28.060,2325.0,,,,
127,08/08/23 12:00:00 PM,28.357,7233.4,,,,
128,08/08/23 12:10:00 PM,28.555,1237.9,,,,
129,08/08/23 12:20:00 PM,28.258,2411.1,,,,
130,08/08/23 12:30:00 PM,28.060,4822.3,,,,
131,08/08/23 12:40:00 PM,28.060,215.3,,,,
132,08/08/23 12:50:00 PM,27.862,914.9,,,,
133,08/08/23 01:00:00 PM,28.159,2755.6,,,,
134,08/08/23 01:10:00 PM,28.258,4822.3,,,,
135,08/08/23 01:20:00 PM,28.060,1119.5,,,,
136,08/08/23 01:30:00 PM,28.456,4305.6,,,,
137,08/08/23 01:40:00 PM,28.159,1808.3,,,,
138,08/08/23 01:50:00 PM,28.060,4650.0,,,,
139,08/08/23 02:00:00 PM,26.097,64.6,,,,
140,08/08/23 02:10:00 PM,25.805,86.1,,,,
141,08/08/23 02:11:35 PM,,,Logged,,,
142,08/08/23 02:11:36 PM,,,,Logged,,
143,08/08/23 02:12:40 PM,,,,,Logged,
144,08/08/23 02:20:00 PM,26.977,7577.8,,,,
145,08/08/23 02:30:00 PM,28.357,17911.2,,,,
146,08/08/23 02:40:00 PM,28.655,16533.4,,,,
147,08/08/23 02:50:00 PM,28.357,26178.0,,,,
148,08/08/23 03:00:00 PM,28.357,23422.4,,,,
149,08/08/23 03:10:00 PM,28.357,13777.9,,,,
150,08/08/23 03:20:00 PM,28.456,5338.9,,,,
151,08/08/23 03:30:00 PM,28.258,20666.8,,,,
152,08/08/23 03:40:00 PM,28.357,21355.7,,,,
153,08/08/23 03:50:00 PM,28.555,18600.1,,,,
154,08/08/23 04:00:00 PM,28.357,22044.6,,,,
155,08/08/23 04:10:00 PM,28.060,11711.2,,,,
156,08/08/23 04:20:00 PM,28.258,7233.4,,,,
157,08/08/23 04:30:00 PM,28.357,11711.2,,,,
158,08/08/23 04:40:00 PM,28.159,7233.4,,,,
159,08/08/23 04:50:00 PM,27.862,6200.0,,,,
160,08/08/23 05:00:00 PM,28.060,6544.5,,,,
161,08/08/23 05:10:00 PM,28.159,13089.0,,,,
162,08/08/23 05:20:00 PM,28.060,2755.6,,,,
163,08/08/23 05:30:00 PM,27.764,3100.0,,,,
164,08/08/23 05:40:00 PM,27.961,4305.6,,,,
165,08/08/23 05:50:00 PM,28.159,3961.1,,,,
166,08/08/23 06:00:00 PM,27.862,3961.1,,,,
167,08/08/23 06:10:00 PM,27.764,3788.9,,,,
168,08/08/23 06:20:00 PM,27.961,2755.6,,,,
169,08/08/23 06:30:00 PM,28.159,2755.6,,,,
170,08/08/23 06:40:00 PM,27.764,2411.1,,,,
171,08/08/23 06:50:00 PM,28.060,1980.6,,,,
172,08/08/23 07:00:00 PM,28.060,2152.8,,,,
173,08/08/23 07:10:00 PM,28.060,2152.8,,,,
174,08/08/23 07:20:00 PM,28.060,1722.2,,,,
175,08/08/23 07:30:00 PM,28.159,1550.0,,,,
176,08/08/23 07:40:00 PM,28.159,861.1,,,,
177,08/08/23 07:50:00 PM,28.159,452.1,,,,
178,08/08/23 08:00:00 PM,28.159,226.0,,,,
179,08/08/23 08:10:00 PM,28.159,107.6,,,,
180,08/08/23 08:20:00 PM,28.258,10.8,,,,
181,08/08/23 08:30:00 PM,28.258,0.0,,,,
182,08/08/23 08:40:00 PM,28.357,0.0,,,,
183,08/08/23 08:50:00 PM,28.357,0.0,,,,
184,08/08/23 09:00:00 PM,28.258,0.0,,,,
185,08/08/23 09:10:00 PM,27.567,0.0,,,,
186,08/08/23 09:20:00 PM,27.862,0.0,,,,
187,08/08/23 09:30:00 PM,28.159,0.0,,,,
188,08/08/23 09:40:00 PM,27.862,0.0,,,,
189,08/08/23 09:50:00 PM,27.665,0.0,,,,
190,08/08/23 10:00:00 PM,28.060,0.0,,,,
191,08/08/23 10:10:00 PM,28.060,0.0,,,,
192,08/08/23 10:20:00 PM,27.567,0.0,,,,
193,08/08/23 10:30:00 PM,27.961,0.0,,,,
194,08/08/23 10:40:00 PM,28.060,0.0,,,,
195,08/08/23 10:50:00 PM,27.567,0.0,,,,
196,08/08/23 11:00:00 PM,27.862,0.0,,,,
197,08/08/23 11:10:00 PM,28.159,0.0,,,,
198,08/08/23 11:20:00 PM,27.567,0.0,,,,
199,08/08/23 11:30:00 PM,27.862,0.0,,,,
200,08/08/23 11:40:00 PM,28.258,0.0,,,,
201,08/08/23 11:50:00 PM,27.567,0.0,,,,
202,08/09/23 12:00:00 AM,27.764,0.0,,,,
203,08/09/23 12:10:00 AM,28.159,0.0,,,,
204,08/09/23 12:20:00 AM,27.764,0.0,,,,
205,08/09/23 12:30:00 AM,27.665,0.0,,,,
206,08/09/23 12:40:00 AM,28.060,0.0,,,,
207,08/09/23 12:50:00 AM,27.961,0.0,,,,
208,08/09/23 01:00:00 AM,27.665,0.0,,,,
209,08/09/23 01:10:00 AM,27.961,0.0,,,,
210,08/09/23 01:20:00 AM,28.060,0.0,,,,
211,08/09/23 01:30:00 AM,27.567,0.0,,,,
212,08/09/23 01:40:00 AM,27.862,0.0,,,,
213,08/09/23 01:50:00 AM,28.258,0.0,,,,
214,08/09/23 02:00:00 AM,27.665,0.0,,,,
215,08/09/23 02:10:00 AM,27.764,0.0,,,,
216,08/09/23 02:20:00 AM,28.258,0.0,,,,
217,08/09/23 02:30:00 AM,27.665,0.0,,,,
218,08/09/23 02:40:00 AM,27.764,0.0,,,,
219,08/09/23 02:50:00 AM,28.159,0.0,,,,
220,08/09/23 03:00:00 AM,27.862,0.0,,,,
221,08/09/23 03:10:00 AM,27.665,0.0,,,,
222,08/09/23 03:20:00 AM,28.060,0.0,,,,
223,08/09/23 03:30:00 AM,27.862,0.0,,,,
224,08/09/23 03:40:00 AM,27.665,0.0,,,,
225,08/09/23 03:50:00 AM,28.060,0.0,,,,
226,08/09/23 04:00:00 AM,27.961,0.0,,,,
227,08/09/23 04:10:00 AM,27.567,0.0,,,,
228,08/09/23 04:20:00 AM,27.961,0.0,,,,
229,08/09/23 04:30:00 AM,28.060,0.0,,,,
230,08/09/23 04:40:00 AM,27.567,0.0,,,,
231,08/09/23 04:50:00 AM,27.862,0.0,,,,
232,08/09/23 05:00:00 AM,28.159,0.0,,,,
233,08/09/23 05:10:00 AM,27.665,0.0,,,,
234,08/09/23 05:20:00 AM,27.764,0.0,,,,
235,08/09/23 05:30:00 AM,28.159,0.0,,,,
236,08/09/23 05:40:00 AM,27.862,0.0,,,,
237,08/09/23 05:50:00 AM,27.665,0.0,,,,
238,08/09/23 06:00:00 AM,28.060,0.0,,,,
239,08/09/23 06:10:00 AM,27.961,0.0,,,,
240,08/09/23 06:20:00 AM,27.567,0.0,,,,
241,08/09/23 06:30:00 AM,27.961,10.8,,,,
242,08/09/23 06:40:00 AM,28.159,53.8,,,,
243,08/09/23 06:50:00 AM,27.665,161.5,,,,
244,08/09/23 07:00:00 AM,27.862,269.1,,,,
245,08/09/23 07:10:00 AM,28.258,376.7,,,,
246,08/09/23 07:20:00 AM,27.764,818.1,,,,
247,08/09/23 07:30:00 AM,27.764,667.4,,,,
248,08/09/23 07:40:00 AM,28.159,882.6,,,,
249,08/09/23 07:50:00 AM,27.961,1184.0,,,,
250,08/09/23 08:00:00 AM,27.764,796.5,,,,
251,08/09/23 08:10:00 AM,28.159,1636.1,,,,
252,08/09/23 08:20:00 AM,28.060,1722.2,,,,
253,08/09/23 08:30:00 AM,27.665,1980.6,,,,
254,08/09/23 08:40:00 AM,28.060,2669.5,,,,
255,08/09/23 08:50:00 AM,28.258,2411.1,,,,
256,08/09/23 09:00:00 AM,27.665,2927.8,,,,
257,08/09/23 09:10:00 AM,27.961,3100.0,,,,
258,08/09/23 09:20:00 AM,28.258,2238.9,,,,
259,08/09/23 09:30:00 AM,27.862,3961.1,,,,
260,08/09/23 09:40:00 AM,27.961,5338.9,,,,
261,08/09/23 09:50:00 AM,28.258,1291.7,,,,
262,08/09/23 10:00:00 AM,27.961,6200.0,,,,
263,08/09/23 10:10:00 AM,27.961,4477.8,,,,
264,08/09/23 10:20:00 AM,28.357,9644.5,,,,
265,08/09/23 10:30:00 AM,28.159,11022.3,,,,
266,08/09/23 10:40:00 AM,27.961,7233.4,,,,
267,08/09/23 10:50:00 AM,28.456,15844.5,,,,
268,08/09/23 11:00:00 AM,28.159,3961.1,,,,
269,08/09/23 11:10:00 AM,28.159,16533.4,,,,
270,08/09/23 11:20:00 AM,28.357,4822.3,,,,
271,08/09/23 11:30:00 AM,28.555,19289.0,,,,
272,08/09/23 11:40:00 AM,27.961,14466.8,,,,
273,08/09/23 11:50:00 AM,28.357,14466.8,,,,
274,08/09/23 12:00:00 PM,28.754,20666.8,,,,
